t,Le,n
0,14.49,0
1,14.49,0
2,14.49,0
3,14.49,0
4,14.49,0
5,14.49,0
6,14.49,0
7,14.49,0
8,14.49,0
9,14.49,0
10,14.49,0
11,14.49,0
12,14.49,0
13,14.49,0
14,14.49,0
15,14.49,0
16,14.49,0
17,14.49,0
18,14.49,0
19,14.49,0
20,14.49,0
21,14.49,0
22,14.49,0
23,14.49,0
24,14.49,0
25,14.49,0
26,14.49,0
27,14.49,0
28,14.49,0
29,14.49,0
30,14.49,0
31,14.49,0
32,14.49,0
33,14.49,0
34,14.49,0
35,14.49,0
36,14.49,0
37,14.49,0
38,14.49,0
39,14.49,0
40,14.49,0
41,14.49,0
42,14.49,0
43,14.49,0
44,14.49,0
45,14.49,0
46,14.49,0
47,14.49,0
48,14.49,0
49,14.49,0
50,14.49,0
51,14.49,0
52,14.49,0
53,14.49,0
54,14.49,1
55,14.49,1
56,14.49,2
57,14.49,2
58,14.49,3
59,14.49,3
60,14.49,3
61,14.49,3
62,14.49,4
63,14.49,4
64,14.51,6
65,14.54,7
66,14.54,7
67,14.51,6
68,14.54,7
69,14.54,7
70,14.54,7
71,14.51,6
72,14.51,6
73,14.51,6
74,14.51,6
75,14.49,5
76,14.51,6
77,14.51,6
78,14.49,5
79,14.51,6
80,14.51,6
81,14.49,5
82,14.49,5
83,14.49,5
84,14.49,4
85,14.49,5
86,14.49,5
87,14.51,6
88,14.54,7
89,14.54,7
90,14.6,8
91,14.51,6
92,14.51,6
93,14.51,6
94,14.51,6
95,14.6,8
96,14.6,8
97,14.81,10
98,14.81,10
99,14.81,10
100,14.96,11
101,15.36,13
102,15.14,12
103,15.87,15
104,15.36,13
105,15.87,15
106,16.82,18
107,17.56,20
108,17.56,20
109,17.96,21
110,18.81,23
111,18.81,23
112,19.27,24
113,19.27,24
114,19.74,25
115,19.74,25
116,19.74,25
117,20.23,26
118,19.74,25
119,19.27,24
120,20.23,26
121,20.23,26
122,20.73,27
123,20.23,26
124,20.73,27
125,20.73,27
126,21.26,28
127,21.26,28
128,20.23,26
129,20.23,26
130,20.23,26
131,20.23,26
132,20.23,26
133,19.74,25
134,19.74,25
135,18.81,23
136,18.81,23
137,18.81,23
138,18.38,22
139,17.96,21
140,17.18,19
141,16.82,18
142,16.82,18
143,16.48,17
144,16.16,16
145,15.6,14
146,15.14,12
147,14.96,11
148,14.81,10
149,14.69,9
150,14.69,9
151,14.6,8
152,14.51,6
153,14.54,7
154,14.51,6
155,14.49,5
156,14.49,4
157,14.49,4
158,14.49,3
159,14.49,3
160,14.49,3
161,14.49,4
162,14.49,4
163,14.49,5
164,14.49,4
165,14.49,4
166,14.49,4
167,14.49,3
168,14.49,4
169,14.49,4
170,14.49,4
171,14.49,4
172,14.49,4
173,14.49,4
174,14.49,4
175,14.49,3
176,14.49,3
177,14.49,2
178,14.49,2
179,14.49,2
180,14.49,2
181,14.49,1
182,14.49,0
183,14.49,0
184,14.49,0
185,14.49,0
186,14.49,0
187,14.49,0
188,14.49,0
189,14.49,0
190,14.49,0
191,14.49,0
192,14.49,0
193,14.49,0
194,14.49,0
195,14.49,0
196,14.49,0
197,14.49,0
198,14.49,0
199,14.49,0
200,14.49,0
201,14.49,0
202,14.49,0
203,14.49,0
204,14.49,0
205,14.49,0
206,14.49,0
207,14.49,0
208,14.49,0
209,14.49,0
210,14.49,0
211,14.49,0
212,14.49,0
213,14.49,0
214,14.49,0
215,14.49,0
216,14.49,0
217,14.49,0
218,14.49,0
219,14.49,0
220,14.49,0
221,14.49,0
222,14.49,0
223,14.49,0
224,14.49,0
225,14.49,0
226,14.49,0
227,14.49,0
228,14.49,0
229,14.49,0
230,14.49,0
231,14.49,0
232,14.49,0
233,14.49,0
234,14.49,0
235,14.49,0
236,14.49,0
237,14.49,0
238,14.49,0
239,14.49,0
240,14.49,0
241,14.49,0
242,14.49,0
243,14.49,0
244,14.49,0
245,14.49,0
246,14.49,0
247,14.49,0
248,14.49,0
249,14.49,0
